date,wti,cpi,fedfunds,unrate,indpro,umcsent,sp500,payems,gdp,sp_total_return_idx
1972-01-31,3.56,41.2,3.51,5.8,40.1408,,,72441.0,5632.649,5.663243
1972-02-29,3.56,41.4,3.3,5.7,40.5459,92.8,,72648.0,5632.649,5.787961
1972-03-31,3.56,41.4,3.83,5.8,40.8263,,,72944.0,5632.649,5.938244
1972-04-30,3.56,41.5,4.17,5.7,41.2348,,,73162.0,5760.47,6.006318
1972-05-31,3.56,41.6,4.27,5.7,41.2405,88.6,,73469.0,5760.47,5.924429
1972-06-30,3.56,41.7,4.46,5.7,41.3497,,,73758.0,5760.47,5.929423
1972-07-31,3.56,41.8,4.55,5.6,41.3035,,,73709.0,5814.854,5.8638
1972-08-31,3.56,41.9,4.81,5.6,41.879,95.2,,74141.0,5814.854,6.047339
1972-09-30,3.56,42.1,4.87,5.5,42.2132,,,74264.0,5814.854,5.94715
1972-10-31,3.56,42.2,5.05,5.6,42.7494,,,74674.0,5912.22,5.941314
1972-11-30,3.56,42.4,5.06,5.3,43.2548,90.7,,74973.0,5912.22,6.237797
1972-12-31,3.56,42.5,5.33,5.2,43.7367,,,75268.0,5912.22,6.363502
1973-01-31,3.56,42.7,5.94,4.9,44.0529,,,75617.0,6058.544,6.37602
1973-02-28,3.56,43.0,6.58,5.0,44.6827,81.9,,76014.0,6058.544,6.092156
1973-03-31,3.56,43.4,7.09,4.9,44.7045,,,76284.0,6058.544,5.956482
1973-04-30,3.56,43.7,7.12,5.0,44.6387,,,76455.0,6124.506,5.809699
1973-05-31,3.56,43.9,7.84,4.9,44.9429,77.0,,76648.0,6124.506,5.619145
1973-06-30,3.56,44.2,8.49,4.9,45.0035,,,76887.0,6124.506,5.460078
1973-07-31,3.56,44.2,10.4,4.8,45.1636,,,76913.0,6092.301,5.558031
1973-08-31,4.31,45.0,10.5,4.8,45.1019,72.0,,77168.0,6092.301,5.47903
1973-09-30,4.31,45.2,10.78,4.8,45.4624,,,77276.0,6092.301,5.615889
1973-10-31,4.31,45.6,10.01,4.6,45.847,,,77607.0,6150.131,5.869773
1973-11-30,4.31,45.9,10.03,4.8,46.0553,76.5,,77920.0,6150.131,5.406132
1973-12-31,4.31,46.3,9.95,4.9,45.923,,,78031.0,6150.131,4.990267
1974-01-31,10.11,46.8,9.65,5.1,45.6204,,,78100.0,6097.258,5.089559
1974-02-28,10.11,47.3,8.97,5.2,45.4759,61.8,,78254.0,6097.258,4.952109
1974-03-31,10.11,47.8,9.35,5.1,45.4777,,,78296.0,6097.258,5.164505
1974-04-30,10.11,48.1,10.51,5.1,45.3451,,,78382.0,6111.751,4.873208
1974-05-31,10.11,48.6,11.31,5.1,45.7044,72.1,,78549.0,6111.751,4.688923
1974-06-30,10.11,49.0,11.93,5.4,45.6238,,,78604.0,6111.751,4.667977
1974-07-31,10.11,49.3,12.92,5.5,45.7221,,,78636.0,6053.978,4.284795
1974-08-31,10.11,49.9,12.01,5.5,45.2366,64.4,,78619.0,6053.978,3.94705
1974-09-30,10.11,50.6,11.34,5.9,45.2365,,,78610.0,6053.978,3.534503
1974-10-31,11.16,51.0,10.06,6.0,45.1133,,,78630.0,6030.464,3.626133
1974-11-30,11.16,51.5,9.45,6.6,43.6278,59.5,,78265.0,6030.464,3.761538
1974-12-31,11.16,51.9,8.53,7.2,42.0533,,,77652.0,6030.464,3.506448
1975-01-31,11.16,52.3,7.13,8.1,41.4676,,,77293.0,5957.035,3.818399
1975-02-28,11.16,52.6,6.24,8.1,40.5165,57.6,,76918.0,5957.035,4.206449
1975-03-31,11.16,52.8,5.54,8.6,40.0638,,,76648.0,5957.035,4.392218
1975-04-30,11.16,53.0,5.49,8.8,40.1573,,,76460.0,5999.61,4.447789
1975-05-31,11.16,53.1,5.22,9.0,40.0253,72.8,,76624.0,5999.61,4.729234
1975-06-30,11.16,53.5,5.55,8.8,40.2772,,,76521.0,5999.61,4.874242
1975-07-31,11.16,54.0,6.1,8.6,40.6994,,,76770.0,6102.326,4.906289
1975-08-31,11.16,54.2,6.14,8.4,41.0998,75.7,,77153.0,6102.326,4.526278
1975-09-30,11.16,54.6,6.24,8.4,41.6304,,,77228.0,6102.326,4.453368
1975-10-31,11.16,54.9,5.82,8.4,41.8135,,,77540.0,6184.53,4.641525
1975-11-30,11.16,55.3,5.22,8.3,41.8697,75.6,,77685.0,6184.53,4.717562
1975-12-31,11.16,55.6,5.2,8.2,42.4414,,,78017.0,6184.53,4.632754
